Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9
Wavelength (nm),Frequency (Hz),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.650,-9.119E-14,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.700,-8.911E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.750,-9.290E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.800,-8.228E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.850,-8.105E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.900,-9.619E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.950,-8.606E-14,-1.918,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.000,-8.887E-14,-1.918,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.050,-9.314E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.100,-9.094E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.150,-9.033E-14,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.200,-8.325E-14,-1.921,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.250,-8.289E-14,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.300,-1.028E-13,-1.921,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.350,-7.043E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.400,-7.996E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.450,-8.691E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.500,-7.898E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.550,-8.191E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.600,-8.447E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.650,-1.105E-13,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.700,-1.368E-13,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.750,-1.636E-13,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.800,-1.810E-13,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.850,-1.718E-13,-1.918,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.900,-1.810E-13,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.950,-1.564E-13,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.000,-1.252E-13,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.050,-8.044E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.100,-6.091E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.150,-4.565E-14,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.200,-3.772E-14,-1.919,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.250,-3.857E-14,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.300,-4.224E-14,-1.921,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.350,-3.284E-14,-1.920,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.400,-4.517E-14,-1.921,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.450,-4.224E-14,-1.921,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.500,-4.346E-14,-1.920,1.92
