Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11
τ (s),γ,Time of n oscillations (s),User Data 3 (units),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Number of Oscillations,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
0.6,1.2,4.23,,0.00604,1.00E-06,1.636,0.002,0.0096119,8.00E-06,7,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,
,,,,,,,,,,,0.38,0.69,0,0,0.38,0.69,0,0,0.38,0.69,0,0,0.38,0.69,0,0,0.38,0.69,0,0,0.38,0.69,0,0,0.38,0.57,-0.5,-2.04,0.38,0.69,0,0,0.38,0.69,0,0,0.38,0.69,0.03,-0.51,0.38,0.69,0,0
,,,,,,,,,,,0.39,0.69,0,0,0.39,0.69,0,0,0.39,0.69,0,0,0.39,0.69,0,-0.09,0.39,0.69,0,0,0.39,0.69,0,0,0.39,0.56,-0.81,-16.96,0.39,0.69,0,0,0.39,0.69,0,0,0.39,0.69,0.01,5.16,0.39,0.69,0,0
,,,,,,,,,,,0.4,0.69,0,0,0.4,0.69,0,0,0.4,0.69,0,0,0.4,0.69,0,0.43,0.4,0.69,0,0,0.4,0.69,0,0,0.4,0.55,-0.84,21.87,0.4,0.69,0,0,0.4,0.69,0,0.09,0.4,0.69,0.13,8.34,0.4,0.69,0,0
,,,,,,,,,,,0.41,0.69,0,0,0.41,0.69,0,0,0.41,0.69,0,0,0.41,0.69,0.01,0.6,0.41,0.69,0,0,0.41,0.69,0,0,0.41,0.55,-0.37,20.74,0.41,0.69,0,0,0.41,0.69,0,-0.52,0.41,0.69,0.17,-10.32,0.41,0.69,0,0
,,,,,,,,,,,0.42,0.69,0,0,0.42,0.69,0,0,0.42,0.69,0,0,0.42,0.69,0.01,-0.43,0.42,0.69,0,0,0.42,0.69,0,0,0.42,0.55,-0.42,-13.14,0.42,0.69,0,0,0.42,0.69,-0.01,-0.09,0.42,0.69,-0.08,-16,0.42,0.69,0,0
,,,,,,,,,,,0.43,0.69,0,0,0.43,0.69,0,0,0.43,0.69,0,0,0.43,0.69,0,-0.43,0.43,0.69,0,0,0.43,0.69,0,0,0.43,0.54,-0.63,1.14,0.43,0.69,0,-0.09,0.43,0.69,0,0.52,0.43,0.69,-0.15,1.72,0.43,0.69,0,0
,,,,,,,,,,,0.44,0.69,0,0,0.44,0.69,0,0,0.44,0.69,0,0,0.44,0.69,0,-0.43,0.44,0.69,0,0,0.44,0.69,0,0,0.44,0.53,-0.4,27.18,0.44,0.69,0,0.43,0.44,0.69,0,-0.09,0.44,0.69,-0.04,7.74,0.44,0.69,0,0
,,,,,,,,,,,0.45,0.69,0,0,0.45,0.69,0,0,0.45,0.69,0,0,0.45,0.69,-0.01,-0.6,0.45,0.69,0,0,0.45,0.69,0,0,0.45,0.53,-0.09,9.96,0.45,0.69,0.01,0.6,0.45,0.69,0,0.6,0.45,0.69,0.01,2.75,0.45,0.69,0,0
,,,,,,,,,,,0.46,0.69,0,0,0.46,0.69,0,0,0.46,0.69,0,0,0.46,0.69,-0.01,0.43,0.46,0.69,0,0,0.46,0.69,0,1.65,0.46,0.53,-0.2,-9.05,0.46,0.69,0.01,-0.43,0.46,0.69,0.01,-0.43,0.46,0.69,0.01,1.12,0.46,0.69,0,0
,,,,,,,,,,,0.47,0.69,0,0,0.47,0.69,0,0,0.47,0.69,0,0,0.47,0.69,0,0.52,0.47,0.69,0,0,0.47,0.69,0.03,-4.71,0.47,0.53,-0.27,9.99,0.47,0.69,0,-0.52,0.47,0.69,-0.01,-0.69,0.47,0.69,0.03,5.33,0.47,0.69,0,0
